osm_id,name,LSOA01CD,LSOA01NM,2010IMD_UK,2010IMD__1,2010IMD__2,2010IMD__3,2010IMD__4,2010IMD__5,,Aldi,Asda,Co-op,Costcutter,Farmfoods,Fultons,Iceland,Lidl,Matalan,Morrisons,Netto,Sainsburys,Somerfield,Tesco
298186533,Aldi,E01011691,Leeds 031D,00DA,Leeds District,D,Yorkshire and The Humber,36.25,5781,,,,,,,,,,,,,,,
289751389,Asda,E01010627,Bradford 038E,00CX,Bradford District,D,Yorkshire and The Humber,45.03,3218,,,,,,,,,,,,,,,
301022545,Asda,E01011482,Leeds 056D,00DA,Leeds District,D,Yorkshire and The Humber,24.09,11219,,,,,,,,,,,,,,,
305697319,Asda,E01011749,Wakefield 005B,00DB,Wakefield District,D,Yorkshire and The Humber,28.93,8687,,,,,,,,,,,,,,,
422085419,Asda,E01011819,Wakefield 016E,00DB,Wakefield District,D,Yorkshire and The Humber,15.51,17773,,,,,,,,,,,,,,,
521935148,Asda,E01010615,Bradford 053A,00CX,Bradford District,D,Yorkshire and The Humber,35.71,5969,,,,,,,,,,,,,,,
838397878,Asda,E01010689,Bradford 019F,00CX,Bradford District,D,Yorkshire and The Humber,13.43,19874,,,,,,,,,,,,,,,
1221697584,Asda,E01011379,Leeds 017A,00DA,Leeds District,D,Yorkshire and The Humber,31.81,7424,,,,,,,,,,,,,,,
2265854655,Asda,E01011341,Leeds 061A,00DA,Leeds District,D,Yorkshire and The Humber,29.9,8236,,,,,,,,,,,,,,,
294182571,Co-op,E01011538,Leeds 107B,00DA,Leeds District,D,Yorkshire and The Humber,27.43,9408,,,,,,,,,,,,,,,
297105823,Co-op,E01011611,Leeds 068D,00DA,Leeds District,D,Yorkshire and The Humber,44.6,3320,,,,,,,,,,,,,,,
305768422,Co-op,E01011760,Wakefield 002D,00DB,Wakefield District,D,Yorkshire and The Humber,35.49,6043,,,,,,,,,,,,,,,
330656594,Co-op,E01011512,Leeds 023C,00DA,Leeds District,D,Yorkshire and The Humber,11.69,21908,,,,,,,,,,,,,,,
362254373,Co-op,E01010785,Bradford 018D,00CX,Bradford District,D,Yorkshire and The Humber,15.42,17872,,,,,,,,,,,,,,,
401769781,Co-op,E01011523,Leeds 096C,00DA,Leeds District,D,Yorkshire and The Humber,22.2,12415,,,,,,,,,,,,,,,
446295562,Co-op,E01011597,Leeds 066C,00DA,Leeds District,D,Yorkshire and The Humber,21.12,13168,,,,,,,,,,,,,,,
457697432,Co-op,E01010575,Bradford 013C,00CX,Bradford District,D,Yorkshire and The Humber,9.63,24519,,,,,,,,,,,,,,,
676622252,Co-op,E01010820,Bradford 052C,00CX,Bradford District,D,Yorkshire and The Humber,70.11,234,,,,,,,,,,,,,,,
692302658,Co-op,E01010577,Bradford 013D,00CX,Bradford District,D,Yorkshire and The Humber,7.14,27647,,,,,,,,,,,,,,,
747719381,Co-op,E01010774,Bradford 005D,00CX,Bradford District,D,Yorkshire and The Humber,3.87,31144,,,,,,,,,,,,,,,
1182514293,Co-op,E01011250,Kirklees 009D,00CZ,Kirklees District,D,Yorkshire and The Humber,36.58,5655,,,,,,,,,,,,,,,
2009075792,Co-op,E01011645,Leeds 032D,00DA,Leeds District,D,Yorkshire and The Humber,15.41,17881,,,,,,,,,,,,,,,
2125610507,Co-op,E01011365,Leeds 084A,00DA,Leeds District,D,Yorkshire and The Humber,18.84,14894,,,,,,,,,,,,,,,
1738841583,Costcutters,E01011266,Leeds 008A,00DA,Leeds District,D,Yorkshire and The Humber,3.19,31695,,,,,,,,,,,,,,,
291601292,Farmfoods,E01011336,Leeds 058C,00DA,Leeds District,D,Yorkshire and The Humber,44.72,3294,,,,,,,,,,,,,,,
330089335,Fultons,E01011293,Leeds 071C,00DA,Leeds District,D,Yorkshire and The Humber,45.96,3007,,,,,,,,,,,,,,,
2430356586,Fultons,E01011459,Leeds 021C,00DA,Leeds District,D,Yorkshire and The Humber,10.22,23748,,,,,,,,,,,,,,,
301022546,Iceland,E01011482,Leeds 056D,00DA,Leeds District,D,Yorkshire and The Humber,24.09,11219,,,,,,,,,,,,,,,
446295554,Iceland,E01010627,Bradford 038E,00CX,Bradford District,D,Yorkshire and The Humber,45.03,3218,,,,,,,,,,,,,,,
529090409,Iceland,E01010814,Bradford 057A,00CX,Bradford District,D,Yorkshire and The Humber,48.5,2478,,,,,,,,,,,,,,,
1607736623,Iceland,E01011029,Kirklees 010B,00CZ,Kirklees District,D,Yorkshire and The Humber,64.78,485,,,,,,,,,,,,,,,
2295320744,Iceland,E01011490,Leeds 099A,00DA,Leeds District,D,Yorkshire and The Humber,24.22,11147,,,,,,,,,,,,,,,
300375945,Lidl,E01010606,Bradford 039A,00CX,Bradford District,D,Yorkshire and The Humber,73.78,112,,,,,,,,,,,,,,,
300456465,Lidl,E01010833,Bradford 041C,00CX,Bradford District,D,Yorkshire and The Humber,55.09,1398,,,,,,,,,,,,,,,
300865539,Lidl,E01010733,Bradford 048C,00CX,Bradford District,D,Yorkshire and The Humber,65.34,449,,,,,,,,,,,,,,,
370075292,Lidl,E01011635,Leeds 097B,00DA,Leeds District,D,Yorkshire and The Humber,14.24,18965,,,,,,,,,,,,,,,
388505875,Lidl,E01011467,Leeds 084B,00DA,Leeds District,D,Yorkshire and The Humber,48.16,2547,,,,,,,,,,,,,,,
422085417,Lidl,E01011819,Wakefield 016E,00DB,Wakefield District,D,Yorkshire and The Humber,15.51,17773,,,,,,,,,,,,,,,
888708138,Lidl,E01011352,Leeds 034C,00DA,Leeds District,D,Yorkshire and The Humber,21.49,12880,,,,,,,,,,,,,,,
1854019988,Lidl,E01011339,Leeds 060A,00DA,Leeds District,D,Yorkshire and The Humber,56.65,1192,,,,,,,,,,,,,,,
2281930714,Lidl,E01011415,Leeds 069B,00DA,Leeds District,D,Yorkshire and The Humber,15.55,17743,,,,,,,,,,,,,,,
430953134,Matalan,E01011737,Leeds 083C,00DA,Leeds District,D,Yorkshire and The Humber,36.49,5695,,,,,,,,,,,,,,,
52105553,Morrisons,E01011477,Leeds 045A,00DA,Leeds District,D,Yorkshire and The Humber,28.2,9019,,,,,,,,,,,,,,,
261738005,Morrisons,E01011459,Leeds 021C,00DA,Leeds District,D,Yorkshire and The Humber,10.22,23748,,,,,,,,,,,,,,,
268960915,Morrisons,E01011274,Leeds 010C,00DA,Leeds District,D,Yorkshire and The Humber,30.62,7926,,,,,,,,,,,,,,,
299171007,Morrisons,E01011365,Leeds 084A,00DA,Leeds District,D,Yorkshire and The Humber,18.84,14894,,,,,,,,,,,,,,,
301033854,Morrisons,E01010833,Bradford 041C,00CX,Bradford District,D,Yorkshire and The Humber,55.09,1398,,,,,,,,,,,,,,,
444867921,Morrisons,E01011265,Leeds 009A,00DA,Leeds District,D,Yorkshire and The Humber,10.21,23764,,,,,,,,,,,,,,,
494147393,Morrisons,E01010627,Bradford 038E,00CX,Bradford District,D,Yorkshire and The Humber,45.03,3218,,,,,,,,,,,,,,,
1354118942,Morrisons,E01010747,Bradford 056B,00CX,Bradford District,D,Yorkshire and The Humber,28.12,9060,,,,,,,,,,,,,,,
2117006479,Morrisons,E01011467,Leeds 084B,00DA,Leeds District,D,Yorkshire and The Humber,48.16,2547,,,,,,,,,,,,,,,
529090414,Netto,E01010814,Bradford 057A,00CX,Bradford District,D,Yorkshire and The Humber,48.5,2478,,,,,,,,,,,,,,,
297092562,Sainsbury,E01011612,Leeds 079E,00DA,Leeds District,D,Yorkshire and The Humber,32.47,7147,,,,,,,,,,,,,,,
